Scan_Date,Run_Time,Run_Label,Stock,Company_Name,Predicted_Buy_Date,Predicted_Buy_Price,Actual_Open,Actual_Price_Date,Error_Pct,Direction,Within_Threshold,Note
2026-03-18,17:04,Force Run,BDL.NS,Bharat Dynamics Limited,19 Mar 2026,1321.02,1300.0,2026-03-19,-1.59,UNDER,True,
2026-03-19,07:40,Live 13:00 IST,PHOENIXLTD.NS,The Phoenix Mills Limited,20 Mar 2026,1584.34,1575.0,2026-03-20,-0.59,UNDER,True,
2026-03-19,07:40,Live 13:00 IST,KPIL.NS,Kalpataru Projects International Limited,20 Mar 2026,1071.92,1079.9,2026-03-20,0.74,OVER,True,
2026-03-19,09:37,Live 14:59 IST,PNB.NS,Punjab National Bank,20 Mar 2026,108.98,110.5,2026-03-20,1.39,OVER,True,
2026-03-19,09:37,Live 14:59 IST,UNITDSPR.NS,UNITED SPIRITS LIMITED,20 Mar 2026,1285.68,1296.0,2026-03-20,0.8,OVER,True,
2026-03-19,09:37,Live 14:59 IST,ENRIN.NS,Siemens Energy India Limited,20 Mar 2026,2754.88,2775.0,2026-03-20,0.73,OVER,True,
2026-03-19,09:37,Live 14:59 IST,CREDITACC.NS,CreditAccess Grameen Limited,20 Mar 2026,1155.03,1165.3,2026-03-20,0.89,OVER,True,
2026-03-19,10:12,Live 15:35 IST,SBIN.NS,State Bank of India,20 Mar 2026,1049.59,1058.4,2026-03-20,0.84,OVER,True,
2026-03-19,10:12,Live 15:35 IST,SHRIRAMFIN.NS,Shriram Finance Limited,20 Mar 2026,951.61,962.0,2026-03-20,1.09,OVER,True,
2026-03-19,10:12,Live 15:35 IST,AXISBANK.NS,Axis Bank Limited,20 Mar 2026,1208.24,1208.6,2026-03-20,0.03,OVER,True,
2026-03-19,10:12,Live 15:35 IST,M&M.NS,Mahindra & Mahindra Limited,20 Mar 2026,3047.51,3059.2,2026-03-20,0.38,OVER,True,
2026-03-19,10:12,Live 15:35 IST,VEDL.NS,Vedanta Limited,20 Mar 2026,665.77,670.0,2026-03-20,0.64,OVER,True,
2026-03-19,10:12,Live 15:35 IST,HINDCOPPER.NS,Hindustan Copper Limited,20 Mar 2026,470.82,472.0,2026-03-20,0.25,OVER,True,
2026-03-19,10:12,Live 15:35 IST,ATHERENERG.NS,Ather Energy Limited,20 Mar 2026,754.75,769.0,2026-03-20,1.89,OVER,True,
2026-03-19,10:12,Live 15:35 IST,BEL.NS,Bharat Electronics Limited,20 Mar 2026,431.13,432.2,2026-03-20,0.25,OVER,True,
2026-03-19,10:12,Live 15:35 IST,TATASTEEL.NS,Tata Steel Limited,20 Mar 2026,190.62,193.4,2026-03-20,1.46,OVER,True,
2026-03-19,10:12,Live 15:35 IST,POLYCAB.NS,Polycab India Limited,20 Mar 2026,7183.57,7205.0,2026-03-20,0.3,OVER,True,
2026-03-19,10:12,Live 15:35 IST,HINDALCO.NS,Hindalco Industries Limited,20 Mar 2026,897.66,884.95,2026-03-20,-1.42,UNDER,True,
2026-03-19,10:12,Live 15:35 IST,EICHERMOT.NS,Eicher Motors Limited,20 Mar 2026,6794.93,6802.5,2026-03-20,0.11,OVER,True,
2026-03-19,10:12,Live 15:35 IST,NATIONALUM.NS,National Aluminium Company Limited,20 Mar 2026,377.26,369.05,2026-03-20,-2.18,UNDER,True,
2026-03-19,10:12,Live 15:35 IST,MUTHOOTFIN.NS,Muthoot Finance Limited,20 Mar 2026,3308.52,3299.0,2026-03-20,-0.29,UNDER,True,
2026-03-19,10:12,Live 15:35 IST,HAL.NS,Hindustan Aeronautics Limited,20 Mar 2026,3805.02,3826.0,2026-03-20,0.55,OVER,True,
2026-03-19,10:12,Live 15:35 IST,OIL.NS,Oil India Limited,20 Mar 2026,477.35,476.0,2026-03-20,-0.28,UNDER,True,
2026-03-19,10:12,Live 15:35 IST,TVSMOTOR.NS,TVS Motor Company Limited,20 Mar 2026,3456.24,3469.1,2026-03-20,0.37,OVER,True,
